n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
50,20,1,0.15,0,2,False,True,True,True,True,0.2892114094732103,0.7107885905267897,0,11.78077485091634
50,20,1,0.15,1,2,False,True,True,True,True,0.3635730422704671,0.6364269577295328,0,11.78077485091634
50,20,1,0.15,2,2,False,True,True,True,True,0.3654485710888537,0.6345514289111462,0,11.78077485091634
50,20,2,0.15,0,999,False,False,False,False,False,0.1492643528942851,0.8507356471057148,0,15.340182250474506
50,20,2,0.15,1,999,False,False,False,False,False,0.1727284971694323,0.8272715028305677,0,15.340182250474506
50,20,2,0.15,2,999,False,False,False,False,False,0.1754163876876126,0.8245836123123873,0,15.340182250474506
100,20,0,0.15,0,2,False,True,True,True,True,0.2272420225059711,0.7727579774940289,0,16.631610680825023
100,20,0,0.15,1,2,False,True,True,True,True,0.2494713501269587,0.7505286498730412,0,16.631610680825023
100,20,0,0.15,2,2,False,True,True,True,True,0.2572225359930706,0.7427774640069293,0,16.631610680825023
100,20,1,0.15,0,1,True,True,True,True,True,0.2453270039903586,0.7546729960096414,1,14.954036033624291
100,20,1,0.15,1,1,True,True,True,True,True,0.2960312364945667,0.7039687635054332,1,14.954036033624291
100,20,1,0.15,2,1,True,True,True,True,True,0.3100079425880304,0.6899920574119696,1,14.954036033624291
50,20,3,0.15,0,2,False,True,True,True,True,0.38647356678675776,0.6135264332132422,0,17.468822917825808
50,20,3,0.15,1,2,False,True,True,True,True,0.42707089038632456,0.5729291096136755,0,17.468822917825808
50,20,3,0.15,2,2,False,True,True,True,True,0.44012962221809654,0.5598703777819034,0,17.468822917825808
50,20,4,0.15,0,999,False,False,False,False,False,0.21106460905412783,0.7889353909458722,0,20.886895785738922
50,20,4,0.15,1,999,False,False,False,False,False,0.22456241468326413,0.7754375853167359,0,20.886895785738922
50,20,4,0.15,2,999,False,False,False,False,False,0.23558566304351167,0.7644143369564883,0,20.886895785738922
50,20,5,0.15,0,2,False,True,True,True,True,0.29717656740118986,0.7028234325988101,0,17.102038829800303
50,20,5,0.15,1,3,False,True,True,True,True,0.3232797614069936,0.6767202385930065,0,17.102038829800303
50,20,5,0.15,2,3,False,True,True,True,True,0.3256058408411556,0.6743941591588444,0,17.102038829800303
50,20,6,0.15,0,2,False,True,True,True,True,0.21741798105804935,0.7825820189419507,0,17.314743489652503
50,20,6,0.15,1,2,False,True,True,True,True,0.2443557000339565,0.7556442999660435,0,17.314743489652503
50,20,6,0.15,2,2,False,True,True,True,True,0.25526491777003824,0.7447350822299618,0,17.314743489652503
50,20,7,0.15,0,10,False,False,False,True,True,0.3221762143535167,0.6778237856464833,0,16.862441812904404
50,20,7,0.15,1,11,False,False,False,False,True,0.3564768293933455,0.6435231706066544,0,16.862441812904404
50,20,7,0.15,2,11,False,False,False,False,True,0.3622255711801396,0.6377744288198604,0,16.862441812904404
