n,S,rep,ncand,metric,true_rank,top_rf,corr_neg_rf
30,5000,0,300,wb_b0.5_g-0.25,140,56,-0.02261612204667586
30,5000,0,300,wb_b0.5_g0,172,56,-0.5032560430589155
30,5000,0,300,wb_b0.5_g0.25,224,56,-0.9297251694303207
30,5000,0,300,wb_b0.5_g0.5,77,56,-0.9517332926043549
30,5000,0,300,wb_b0.5_g1.0,145,56,-0.9008474986534774
30,5000,0,300,wb_b0_g0_p0.25,106,14,0.7531141071522182
30,5000,0,300,wb_b0_g0_p0.5,133,4,0.4360590372188615
30,5000,0,300,wb_b-0.25_g0_p0.25,72,4,0.9643084603200321
30,5000,0,300,wb_b-0.25_g0_p0.5,53,6,0.9606173173714233
30,5000,0,300,wb_b-0.5_g0_p0.25,78,4,0.958949250420966
30,5000,0,300,wb_b-0.5_g0_p0.5,87,8,0.9579562948562714
30,5000,0,300,wb_b0_g0.25_p0.25,131,6,0.9087453755623537
30,5000,0,300,wb_b0_g0.25_p0.5,150,6,0.6831097549208017
30,5000,0,300,wb_b0_g0.5_p0.25,122,6,0.8865883259706101
30,5000,0,300,wb_b0_g0.5_p0.5,131,16,0.3992602728270897
30,5000,0,300,wb_b-0.25_g0.25_p0.25,94,8,0.9624810974418088
30,5000,0,300,wb_b-0.25_g0.25_p0.5,94,4,0.9614265272389996
30,5000,0,300,wb_b-0.25_g0.5_p0.25,106,8,0.9553456595408738
30,5000,0,300,wb_b-0.25_g0.5_p0.5,110,8,0.9513741510595822
30,5000,1,250,bottleneck,14,2,0.8657915463409597
30,5000,1,250,q05,11,2,0.9067119296320973
30,5000,1,250,q10,11,10,0.92848586982623
30,5000,1,250,cvar10,12,2,0.901981916983842
30,5000,1,250,cvar20,17,20,0.930603427379445
30,5000,1,250,soft_0.1,42,20,0.9107233910673075
30,5000,1,250,soft_0.25,24,6,0.9494134187384748
30,5000,1,250,soft_0.5,17,2,0.9626470337980516
30,5000,1,250,wb_b-0.5_g-0.5,30,2,0.9694796492709257
30,5000,1,250,wb_b-0.5_g-0.25,32,10,0.9682634405561458
30,5000,1,250,wb_b-0.5_g0,38,10,0.9632065609607047
30,5000,1,250,wb_b-0.5_g0.25,48,10,0.9583527856774897
30,5000,1,250,wb_b-0.5_g0.5,48,10,0.9529613066627597
30,5000,1,250,wb_b-0.5_g1.0,49,10,0.9341211491426181
30,5000,1,250,wb_b-0.25_g-0.5,94,12,0.5375180995828042
30,5000,1,250,wb_b-0.25_g-0.25,4,2,0.9425785774822125
30,5000,1,250,wb_b-0.25_g0,11,2,0.972098701000791
30,5000,1,250,wb_b-0.25_g0.25,19,10,0.9707776345067751
30,5000,1,250,wb_b-0.25_g0.5,21,10,0.9677373486293906
30,5000,1,250,wb_b-0.25_g1.0,33,10,0.9499866102299268
30,5000,1,250,wb_b0_g-0.5,136,12,0.08923777383303279
30,5000,1,250,wb_b0_g-0.25,78,12,0.246360787662687
30,5000,1,250,wb_b0_g0,14,2,0.8657915463409597
30,5000,1,250,wb_b0_g0.25,34,2,0.958257631154802
30,5000,1,250,wb_b0_g0.5,40,12,0.9448398413411376
30,5000,1,250,wb_b0_g1.0,43,8,0.9101320266505585
30,5000,1,250,wb_b0.25_g-0.5,152,54,-0.08901762143020554
30,5000,1,250,wb_b0.25_g-0.25,96,54,-0.19850249884202512
30,5000,1,250,wb_b0.25_g0,96,56,-0.43078321657832025
30,5000,1,250,wb_b0.25_g0.25,101,56,-0.8891316446787242
30,5000,1,250,wb_b0.25_g0.5,146,56,-0.7020420800702475
30,5000,1,250,wb_b0.25_g1.0,57,56,-0.38576233681940036
30,5000,1,250,wb_b0.5_g-0.5,145,56,-0.16950997934614123
30,5000,1,250,wb_b0.5_g-0.25,97,56,-0.3439990138037971
30,5000,1,250,wb_b0.5_g0,105,54,-0.671822345088273
30,5000,1,250,wb_b0.5_g0.25,201,56,-0.9150480447749523
30,5000,1,250,wb_b0.5_g0.5,162,56,-0.8333976099181177
30,5000,1,250,wb_b0.5_g1.0,60,56,-0.8748852200629699
30,5000,1,250,wb_b0_g0_p0.25,88,12,0.6310769200366612
30,5000,1,250,wb_b0_g0_p0.5,97,14,0.21954294138567707
30,5000,1,250,wb_b-0.25_g0_p0.25,25,6,0.9696641020671583
30,5000,1,250,wb_b-0.25_g0_p0.5,67,4,0.9653022267102063
30,5000,1,250,wb_b-0.5_g0_p0.25,48,10,0.9644318736936236
30,5000,1,250,wb_b-0.5_g0_p0.5,39,10,0.965463819794275
30,5000,1,250,wb_b0_g0.25_p0.25,62,2,0.9451855895517951
30,5000,1,250,wb_b0_g0.25_p0.5,64,16,0.8670435951830469
30,5000,1,250,wb_b0_g0.5_p0.25,57,16,0.9082175543066625
30,5000,1,250,wb_b0_g0.5_p0.5,61,16,0.7331531131180026
30,5000,1,250,wb_b-0.25_g0.25_p0.25,55,2,0.9697527373587121
30,5000,1,250,wb_b-0.25_g0.25_p0.5,96,2,0.9639969848944415
30,5000,1,250,wb_b-0.25_g0.5_p0.25,35,2,0.966712415759907
30,5000,1,250,wb_b-0.25_g0.5_p0.5,99,12,0.9569014708731675
30,5000,2,250,bottleneck,1,0,0.7333550082980054
30,5000,2,250,q05,7,12,0.9493020103148212
30,5000,2,250,q10,10,12,0.9676049478425165
30,5000,2,250,cvar10,4,12,0.9162841876426624
30,5000,2,250,cvar20,6,12,0.9552288835582743
30,5000,2,250,soft_0.1,23,12,0.8747830788400359
30,5000,2,250,soft_0.25,14,2,0.9625958773848523
30,5000,2,250,soft_0.5,10,2,0.9750621280383527
30,5000,2,250,wb_b-0.5_g-0.5,21,2,0.9378902411665373
30,5000,2,250,wb_b-0.5_g-0.25,19,2,0.9722227795190056
30,5000,2,250,wb_b-0.5_g0,19,2,0.9702971952012589
30,5000,2,250,wb_b-0.5_g0.25,21,2,0.9669838781811069
30,5000,2,250,wb_b-0.5_g0.5,23,2,0.9618163378399224
30,5000,2,250,wb_b-0.5_g1.0,26,2,0.9459956764142416
30,5000,2,250,wb_b-0.25_g-0.5,40,12,0.1937665409622176
30,5000,2,250,wb_b-0.25_g-0.25,5,2,0.8598668104090401
30,5000,2,250,wb_b-0.25_g0,13,2,0.9717131629820004
30,5000,2,250,wb_b-0.25_g0.25,15,2,0.9705329192440866
30,5000,2,250,wb_b-0.25_g0.5,16,2,0.96684819037983
30,5000,2,250,wb_b-0.25_g1.0,23,2,0.9531019051443023
30,5000,2,250,wb_b0_g-0.5,38,12,0.014198942014003776
30,5000,2,250,wb_b0_g-0.25,28,12,0.11999956637965373
30,5000,2,250,wb_b0_g0,1,0,0.7333550082980054
30,5000,2,250,wb_b0_g0.25,20,2,0.9595060205806298
30,5000,2,250,wb_b0_g0.5,26,2,0.9530713527392493
30,5000,2,250,wb_b0_g1.0,33,10,0.9247207648500412
30,5000,2,250,wb_b0.25_g-0.5,67,56,-0.07984544142879552
30,5000,2,250,wb_b0.25_g-0.25,82,14,-0.09392113201743699
30,5000,2,250,wb_b0.25_g0,113,56,-0.21083041823969156
30,5000,2,250,wb_b0.25_g0.25,153,56,-0.8910463943020336
30,5000,2,250,wb_b0.25_g0.5,79,56,-0.8196979885058674
